feature,coefficient,abs_coef
opponent4_pre_spike_first_bloods,-4.541271433238011e-05,4.541271433238011e-05
opponent0_post_spike_headshots,-4.520575525807186e-05,4.520575525807186e-05
opponent2_pre_spike_first_bloods,-4.308241677514603e-05,4.308241677514603e-05
ally4_post_spike_headshots,4.1606094078866626e-05,4.1606094078866626e-05
opponent0_pre_spike_first_bloods,-4.102972764340197e-05,4.102972764340197e-05
ally3_post_spike_headshots,4.0845575300191654e-05,4.0845575300191654e-05
round_info_ally_side_attacker,-3.9365525407000926e-05,3.9365525407000926e-05
opponent1_pre_spike_first_bloods,-3.91913998533282e-05,3.91913998533282e-05
self_pre_spike_first_bloods,3.8916181401266734e-05,3.8916181401266734e-05
spike_planted,-3.87054013848763e-05,3.87054013848763e-05
pre_spike_crowd_control_vision_used,3.7090607564953194e-05,3.7090607564953194e-05
opponent4_post_spike_headshots,-3.696320248575551e-05,3.696320248575551e-05
self_pre_spike_total_loadout_value_loss,3.560375551369982e-05,3.560375551369982e-05
self_post_spike_assists,3.494378515679598e-05,3.494378515679598e-05
opponent2_post_spike_assists,-3.462211719421968e-05,3.462211719421968e-05
ally2_pre_spike_first_bloods,3.397159407246962e-05,3.397159407246962e-05
opponent3_post_spike_assists,-3.3964392182317704e-05,3.3964392182317704e-05
opponent4_post_spike_assists,-3.333375604123213e-05,3.333375604123213e-05
ally1_post_spike_headshots,3.222704223950398e-05,3.222704223950398e-05
ally2_post_spike_assists,3.1242320913438615e-05,3.1242320913438615e-05
self_pre_spike_total_ability_usage_2,3.0518885167135276e-05,3.0518885167135276e-05
ally2_post_spike_headshots,3.0353916433686664e-05,3.0353916433686664e-05
opponent1_post_spike_assists,-3.0338641816749558e-05,3.0338641816749558e-05
pre_spike_damage_for_team_used,2.845266256209928e-05,2.845266256209928e-05
ally4_post_spike_assists,2.6075663600647875e-05,2.6075663600647875e-05
ally1_post_spike_assists,2.4397925870326957e-05,2.4397925870326957e-05
ally3_post_spike_assists,2.247373460945538e-05,2.247373460945538e-05
opponent3_ultimate_usage,-2.0720202389993638e-05,2.0720202389993638e-05
