feature,coefficient,abs_coef
ally3_pre_spike_elims,1.3695158544876975,1.3695158544876975
ally4_pre_spike_elims,1.3447955408689565,1.3447955408689565
self_pre_spike_elims,1.3431908831072685,1.3431908831072685
opponent1_pre_spike_elims,-1.3365974099098274,1.3365974099098274
ally1_pre_spike_elims,1.3218563976204176,1.3218563976204176
ally2_pre_spike_elims,1.281249495055246,1.281249495055246
opponent2_pre_spike_elims,-1.2713351598037181,1.2713351598037181
opponent3_pre_spike_elims,-1.2698517031734198,1.2698517031734198
opponent4_pre_spike_elims,-1.213104959549366,1.213104959549366
opponent0_pre_spike_elims,-1.1679185924092073,1.1679185924092073
opponent2_post_spike_elims,-1.1146755473065892,1.1146755473065892
ally3_post_spike_elims,1.0272652438540957,1.0272652438540957
opponent3_post_spike_elims,-1.0242743992717591,1.0242743992717591
opponent1_post_spike_elims,-1.0091177524027355,1.0091177524027355
opponent4_post_spike_elims,-0.9459034960162396,0.9459034960162396
opponent0_post_spike_elims,-0.9079351916614056,0.9079351916614056
ally4_post_spike_elims,0.8942548090252559,0.8942548090252559
self_post_spike_elims,0.8268315133511254,0.8268315133511254
self_pre_spike_avg_health,0.7068890196433326,0.7068890196433326
ally1_post_spike_elims,0.6946735202046899,0.6946735202046899
ally2_post_spike_elims,0.6743345825085034,0.6743345825085034
post_spike_damage_for_team_used,0.4179998254614214,0.4179998254614214
ally3_post_spike_total_health_loss,0.41020266748656353,0.41020266748656353
self_post_spike_max_health_loss,-0.4046375563156106,0.4046375563156106
self_longest_inv_state_melee,-0.35049019171952794,0.35049019171952794
self_longest_inv_state_primary,0.3410799932808485,0.3410799932808485
self_post_spike_total_ability_usage_2,0.3381371865166919,0.3381371865166919
self_pre_spike_longest_inv_state_melee,0.31922363894015815,0.31922363894015815
self_post_spike_total_health_loss,-0.3144245529396711,0.3144245529396711
self_post_spike_total_ability_usage_4,0.2953812010143272,0.2953812010143272
self_post_spike_avg_credits,0.2851640853549235,0.2851640853549235
self_pre_spike_longest_inv_state_primary,-0.24496085457247402,0.24496085457247402
post_spike_damage_for_self_used,-0.24149453057310072,0.24149453057310072
self_post_spike_total_ammo_reserve_loss,0.23708525620752344,0.23708525620752344
self_post_spike_avg_shield,0.2353600686679156,0.2353600686679156
self_pre_spike_avg_loadout_value,0.2330548133947053,0.2330548133947053
opponent4_post_spike_headshots,-0.21556642940101767,0.21556642940101767
self_pre_spike_total_ability_usage_4,-0.20705186981256013,0.20705186981256013
self_post_spike_max_ammo_reserve_loss,-0.20293003694452935,0.20293003694452935
opponent3_post_spike_headshots,-0.19947400777691832,0.19947400777691832
ally1_post_spike_max_health_loss,0.19750338418856644,0.19750338418856644
ally1_post_spike_avg_health,0.19620134276434076,0.19620134276434076
self_pre_spike_max_health_loss,-0.19462162588980364,0.19462162588980364
opponent0_post_spike_ultimate_usage,-0.1917232249850506,0.1917232249850506
post_spike_healing_used,0.18096527463889517,0.18096527463889517
ally4_post_spike_assists,0.17540384129439773,0.17540384129439773
post_spike_crowd_control_vision_used,-0.16921344026015833,0.16921344026015833
pre_spike_crowd_control_vision_used,-0.16893793691969392,0.16893793691969392
post_spike_crowd_control_mobility_used,-0.165118873537925,0.165118873537925
self_post_spike_avg_loadout_value,-0.16496867360588813,0.16496867360588813
ally2_post_spike_headshots,0.1649664130954351,0.1649664130954351
ally4_post_spike_headshots,0.1627979655871449,0.1627979655871449
ally4_pre_spike_avg_health,-0.16141932566440279,0.16141932566440279
opponent1_pre_spike_headshots,0.16037511275332417,0.16037511275332417
opponent6_character_viper,0.15963303336843945,0.15963303336843945
self_pre_spike_total_ability_usage_3,0.15921423353723338,0.15921423353723338
self_pre_spike_total_loadout_value_loss,-0.15666918274841263,0.15666918274841263
ally2_character_jett,-0.15527678471527412,0.15527678471527412
ally4_post_spike_max_health_loss,0.15160351294527893,0.15160351294527893
self_post_spike_movement_metric,0.15151619109094758,0.15151619109094758
spike_planted,-0.14871948566274365,0.14871948566274365
self_post_spike_ultimate_usage,-0.14862248440166506,0.14862248440166506
self_pre_spike_ultimate_usage,0.14676604240204036,0.14676604240204036
ally2_post_spike_assists,0.13971691372622272,0.13971691372622272
opponent3_post_spike_ultimate_usage,-0.13921563353332675,0.13921563353332675
self_post_spike_total_firing_time,-0.13846087150336528,0.13846087150336528
opponent2_pre_spike_first_bloods,0.13772266121906643,0.13772266121906643
ally4_post_spike_avg_health,0.13285899166953982,0.13285899166953982
opponent6_character_kay/o,0.1302409919459744,0.1302409919459744
ally3_character_jett,-0.13022222704405328,0.13022222704405328
ally2_pre_spike_first_bloods,-0.12964343548303311,0.12964343548303311
opponent1_post_spike_headshots,-0.1284777619113674,0.1284777619113674
opponent6_character_phoenix,-0.12816491904256347,0.12816491904256347
self_character_skye,0.12792117460080416,0.12792117460080416
round_info_ally_side_attacker,0.12743769503392877,0.12743769503392877
ally1_post_spike_ultimate_usage,0.1236540370097565,0.1236540370097565
self_post_spike_avg_health,-0.12247433710085524,0.12247433710085524
opponent2_ultimate_usage,-0.11978284329547305,0.11978284329547305
opponent5_character_gekko,0.11843780305961718,0.11843780305961718
opponent9_character_omen,0.11795460621416677,0.11795460621416677
opponent1_post_spike_assists,-0.11428108714191447,0.11428108714191447
self_character_cypher,0.11383278583697311,0.11383278583697311
opponent3_pre_spike_headshots,-0.11346782477530813,0.11346782477530813
self_pre_spike_longest_gun_secondary_sheriff,0.11345178872328106,0.11345178872328106
self_post_spike_map_covered,-0.11292853068183517,0.11292853068183517
ally1_character_phoenix,0.1117300267385509,0.1117300267385509
opponent2_post_spike_assists,-0.11137418704374709,0.11137418704374709
opponent3_post_spike_assists,-0.11119172195767246,0.11119172195767246
self_post_spike_assists,0.10953133931973037,0.10953133931973037
self_post_spike_longest_gun_primary_marshal,0.1085052830978713,0.1085052830978713
self_post_spike_longest_inv_state_melee,0.10846049391757635,0.10846049391757635
opponent4_pre_spike_assists,-0.10692039519865451,0.10692039519865451
self_pre_spike_first_bloods,0.10616603715957726,0.10616603715957726
post_spike_shield_used,-0.10594072667057455,0.10594072667057455
opponent1_pre_spike_ultimate_usage,-0.10535230297604939,0.10535230297604939
ally2_pre_spike_headshots,0.1050965994968166,0.1050965994968166
self_character_raze,0.10486388303344575,0.10486388303344575
ally3_pre_spike_headshots,-0.10436075737382566,0.10436075737382566
opponent6_character_chamber,0.10214060672217681,0.10214060672217681
opponent5_character_reyna,0.10182624698054385,0.10182624698054385
pre_spike_shield_used,0.10104524560543851,0.10104524560543851
self_post_spike_longest_gun_primary_judge,-0.10102667220859808,0.10102667220859808
self_character_chamber,0.10026337802951578,0.10026337802951578
self_character_reyna,0.1002491162273258,0.1002491162273258
ally2_pre_spike_avg_health,-0.0977410070487337,0.0977410070487337
ally4_character_harbor,-0.09632910240780125,0.09632910240780125
ally3_post_spike_wallbangs,0.0962556024866594,0.0962556024866594
opponent7_character_kay/o,0.09374193521423403,0.09374193521423403
opponent7_character_phoenix,-0.09161737027661009,0.09161737027661009
ally3_character_kay/o,-0.09111073612163785,0.09111073612163785
self_pre_spike_total_credits_loss,0.09104829422813472,0.09104829422813472
ally2_character_chamber,-0.09071559548143877,0.09071559548143877
opponent8_character_harbor,-0.09058068719580774,0.09058068719580774
ally1_character_brimstone,-0.08848611776782454,0.08848611776782454
ally3_post_spike_avg_health,0.08816371135309457,0.08816371135309457
opponent1_pre_spike_first_bloods,0.0880723394011782,0.0880723394011782
self_post_spike_longest_inv_state_secondary,0.08792257616207295,0.08792257616207295
self_pre_spike_total_ammo_mag_loss,-0.08706266889650648,0.08706266889650648
ally2_post_spike_max_health_loss,0.08682739151615146,0.08682739151615146
ally2_character_neon,-0.08581152356931036,0.08581152356931036
