feature,coefficient,abs_coef
opponent1_pre_spike_elims,-1.2798674405305828,1.2798674405305828
ally3_pre_spike_elims,1.2300565204608707,1.2300565204608707
ally2_pre_spike_elims,1.18446367741373,1.18446367741373
ally1_pre_spike_elims,1.1376096807716822,1.1376096807716822
ally4_pre_spike_elims,1.110000294505393,1.110000294505393
opponent3_pre_spike_elims,-1.0996632153713357,1.0996632153713357
opponent2_pre_spike_elims,-1.0983541264935184,1.0983541264935184
opponent4_pre_spike_elims,-1.0707871269108444,1.0707871269108444
self_pre_spike_elims,1.0310610615631124,1.0310610615631124
all_opponent_dead,0.9966485067026907,0.9966485067026907
opponent0_pre_spike_elims,-0.9925280504564477,0.9925280504564477
opponent2_post_spike_elims,-0.9839914759272691,0.9839914759272691
opponent3_post_spike_elims,-0.9092449766110732,0.9092449766110732
self_pre_spike_avg_health,0.8348623251219469,0.8348623251219469
opponent1_post_spike_elims,-0.8298465815564712,0.8298465815564712
ally3_post_spike_elims,0.806710343293057,0.806710343293057
self_longest_inv_state_melee,-0.7441413663323179,0.7441413663323179
self_pre_spike_longest_inv_state_melee,0.714229161153148,0.714229161153148
all_ally_dead,-0.6919451999149415,0.6919451999149415
opponent4_post_spike_elims,-0.6881325572874233,0.6881325572874233
opponent0_post_spike_elims,-0.65315783100172,0.65315783100172
self_post_spike_elims,0.6264040444610687,0.6264040444610687
ally4_post_spike_elims,0.6069719766857261,0.6069719766857261
ally3_post_spike_total_health_loss,0.5842057330597797,0.5842057330597797
self_post_spike_total_credits_loss,-0.49533152739878356,0.49533152739878356
post_spike_damage_for_team_used,0.4505513061395448,0.4505513061395448
self_post_spike_total_health_loss,-0.44586573658673634,0.44586573658673634
ally2_post_spike_elims,0.4221073619422978,0.4221073619422978
self_post_spike_max_health_loss,-0.3837955231223791,0.3837955231223791
self_post_spike_total_ammo_reserve_loss,0.37473569493814446,0.37473569493814446
ally1_post_spike_elims,0.3449333932421462,0.3449333932421462
self_post_spike_total_ability_usage_2,0.33090965680587087,0.33090965680587087
self_post_spike_avg_credits,0.32598526539175954,0.32598526539175954
self_post_spike_total_ability_usage_4,0.3165908070831148,0.3165908070831148
opponent4_post_spike_headshots,-0.31394886286185164,0.31394886286185164
self_post_spike_max_ammo_reserve_loss,-0.29356221059837845,0.29356221059837845
self_pre_spike_avg_loadout_value,0.27572394076826867,0.27572394076826867
opponent1_pre_spike_headshots,0.2707090985109681,0.2707090985109681
self_post_spike_avg_shield,0.2533407510153757,0.2533407510153757
post_spike_damage_for_self_used,-0.24617449506098144,0.24617449506098144
self_post_spike_max_credits_loss,0.23685699694556672,0.23685699694556672
self_longest_inv_state_primary,0.2344870422182926,0.2344870422182926
round_info_round_length,0.23061777641025427,0.23061777641025427
