feature,coefficient,abs_coef
all_opponent_dead,0.6090124403181624,0.6090124403181624
all_ally_dead,-0.5235255010396284,0.5235255010396284
opponent0_pre_spike_deaths,0.37418786969857587,0.37418786969857587
ally4_pre_spike_deaths,-0.32769311579927607,0.32769311579927607
opponent4_pre_spike_deaths,0.3010670303115857,0.3010670303115857
opponent1_pre_spike_deaths,0.299168970744536,0.299168970744536
opponent3_pre_spike_deaths,0.2960996469451131,0.2960996469451131
self_pre_spike_deaths,-0.2960134545543835,0.2960134545543835
ally2_pre_spike_deaths,-0.2851999021136375,0.2851999021136375
ally4_pre_spike_elims,0.2786580439028324,0.2786580439028324
ally3_pre_spike_deaths,-0.2660410694578005,0.2660410694578005
opponent1_post_spike_elims,-0.2657079059855479,0.2657079059855479
ally1_pre_spike_deaths,-0.26325525898814084,0.26325525898814084
ally1_post_spike_deaths,-0.2616780340949953,0.2616780340949953
ally4_post_spike_deaths,-0.2588644592202743,0.2588644592202743
opponent2_pre_spike_deaths,0.2575646476307507,0.2575646476307507
opponent4_pre_spike_elims,-0.24113315651641162,0.24113315651641162
opponent2_pre_spike_elims,-0.22657853638389827,0.22657853638389827
ally2_post_spike_deaths,-0.22512724929897254,0.22512724929897254
opponent3_pre_spike_elims,-0.22463864491002292,0.22463864491002292
self_pre_spike_elims,0.21063365067631878,0.21063365067631878
self_pre_spike_avg_health,0.21029725334884364,0.21029725334884364
ally3_post_spike_elims,0.2086406464632413,0.2086406464632413
ally1_pre_spike_elims,0.20222803950925022,0.20222803950925022
opponent2_post_spike_deaths,0.19703784017267226,0.19703784017267226
self_pre_spike_avg_loadout_value,0.1947438506768078,0.1947438506768078
opponent0_post_spike_deaths,0.1931470769576009,0.1931470769576009
opponent3_post_spike_elims,-0.1853634535240746,0.1853634535240746
ally4_post_spike_avg_health,0.18390240439370656,0.18390240439370656
opponent4_post_spike_elims,-0.1829725693175242,0.1829725693175242
ally2_post_spike_elims,0.17789638453356557,0.17789638453356557
opponent1_post_spike_deaths,0.1747559627809973,0.1747559627809973
ally3_post_spike_assists,0.1692106677743177,0.1692106677743177
opponent0_post_spike_headshots,-0.16852184691232933,0.16852184691232933
self_post_spike_deaths,-0.1674742671879484,0.1674742671879484
ally2_pre_spike_elims,0.16611387139866715,0.16611387139866715
opponent4_pre_spike_headshots,-0.16328996163641035,0.16328996163641035
self_post_spike_total_health_loss,-0.16308285310063714,0.16308285310063714
self_pre_spike_max_health_loss,-0.1609741040725318,0.1609741040725318
opponent0_post_spike_elims,-0.1601915396906351,0.1601915396906351
post_spike_shield_used,-0.1548646266530161,0.1548646266530161
self_pre_spike_avg_ammo_reserve,0.15441481600527582,0.15441481600527582
ally3_pre_spike_elims,0.15425316098207076,0.15425316098207076
opponent4_post_spike_headshots,-0.15287872964578816,0.15287872964578816
opponent1_pre_spike_elims,-0.152073058420566,0.152073058420566
opponent1_post_spike_headshots,-0.15112751144199676,0.15112751144199676
self_pre_spike_first_bloods,0.14871826540434913,0.14871826540434913
self_pre_spike_total_health_loss,-0.14782509576291553,0.14782509576291553
opponent3_pre_spike_assists,-0.14628620434396306,0.14628620434396306
self_post_spike_max_health_loss,-0.1408301624623594,0.1408301624623594
ally3_post_spike_deaths,-0.13987835577020014,0.13987835577020014
opponent0_pre_spike_assists,-0.13790960473061106,0.13790960473061106
opponent4_post_spike_deaths,0.13537297702872964,0.13537297702872964
ally4_post_spike_headshots,0.13491365978373293,0.13491365978373293
opponent3_pre_spike_headshots,-0.1325942867061812,0.1325942867061812
ally3_post_spike_headshots,0.1324739798228682,0.1324739798228682
ally4_pre_spike_assists,0.12896965948196717,0.12896965948196717
ally1_post_spike_avg_health,0.1285067382252031,0.1285067382252031
ally2_post_spike_assists,0.12770638196589004,0.12770638196589004
opponent2_post_spike_headshots,-0.1270517366965507,0.1270517366965507
ally1_post_spike_total_health_loss,0.1263713718932016,0.1263713718932016
opponent0_pre_spike_headshots,-0.12627995568996989,0.12627995568996989
opponent4_post_spike_assists,-0.12623122134583903,0.12623122134583903
opponent3_post_spike_deaths,0.12468669330546589,0.12468669330546589
self_post_spike_movement_metric,-0.1234066851689257,0.1234066851689257
self_post_spike_avg_shield,0.12157057134800148,0.12157057134800148
opponent4_post_spike_first_bloods,-0.1204808465444648,0.1204808465444648
post_spike_information_used,0.12045648241520572,0.12045648241520572
ally4_post_spike_max_health_loss,0.1200950211508757,0.1200950211508757
self_post_spike_max_shield_loss,-0.11999302398356655,0.11999302398356655
opponent2_pre_spike_assists,-0.11985998859333409,0.11985998859333409
opponent3_post_spike_assists,-0.11707490799344028,0.11707490799344028
ally3_post_spike_avg_health,0.11615394203903419,0.11615394203903419
self_post_spike_longest_inv_state_none,-0.1112977843076871,0.1112977843076871
self_post_spike_longest_inv_state_primary,0.11000271518245586,0.11000271518245586
ally3_pre_spike_headshots,0.10970175216631363,0.10970175216631363
self_pre_spike_total_loadout_value_loss,-0.10835626378022063,0.10835626378022063
ally1_post_spike_elims,0.1083369866586911,0.1083369866586911
opponent0_pre_spike_elims,-0.10787316849348762,0.10787316849348762
self_post_spike_headshots,0.10741756440096403,0.10741756440096403
ally2_post_spike_headshots,0.10508457581094516,0.10508457581094516
ally3_pre_spike_assists,0.10424275868398188,0.10424275868398188
opponent3_ultimate_usage,-0.10416119526506701,0.10416119526506701
opponent3_post_spike_ultimate_usage,-0.10373548602208835,0.10373548602208835
ally3_pre_spike_max_health_loss,0.10042435201739232,0.10042435201739232
ally1_pre_spike_wallbangs,0.10010095918163399,0.10010095918163399
opponent2_pre_spike_wallbangs,-0.0994725264304733,0.0994725264304733
opponent1_pre_spike_assists,-0.09886635734547258,0.09886635734547258
self_pre_spike_total_ability_usage_4,-0.09728881999973968,0.09728881999973968
opponent3_post_spike_headshots,-0.09641146765417931,0.09641146765417931
ally4_pre_spike_headshots,0.08911104169283744,0.08911104169283744
self_post_spike_avg_ammo_mag,0.0887389695384495,0.0887389695384495
self_post_spike_total_credits_loss,-0.08677863792368595,0.08677863792368595
ally3_post_spike_wallbangs,0.08662444378700715,0.08662444378700715
opponent1_post_spike_assists,-0.08617267503048472,0.08617267503048472
self_pre_spike_headshots,0.08569765390186601,0.08569765390186601
self_pre_spike_total_ability_usage_3,0.08564396083040003,0.08564396083040003
self_post_spike_total_loadout_value_loss,-0.08493041262058944,0.08493041262058944
pre_spike_shield_used,0.0839822910471922,0.0839822910471922
self_post_spike_elims,0.08391094804227749,0.08391094804227749
opponent0_post_spike_wallbangs,-0.08323275548044724,0.08323275548044724
self_pre_spike_assists,0.08053693400186038,0.08053693400186038
self_pre_spike_movement_metric,-0.07983250211731778,0.07983250211731778
ally4_post_spike_first_bloods,0.07982864980132598,0.07982864980132598
opponent2_post_spike_ultimate_usage,0.07975939270653866,0.07975939270653866
ally4_post_spike_elims,0.07851529453840135,0.07851529453840135
self_post_spike_longest_gun_secondary_classic,0.07842037935528749,0.07842037935528749
self_pre_spike_avg_credits,-0.07731272298459776,0.07731272298459776
self_pre_spike_total_credits_loss,0.07714985056730343,0.07714985056730343
ally1_pre_spike_max_health_loss,-0.07555340720969712,0.07555340720969712
self_post_spike_max_loadout_value_loss,-0.07500644427548764,0.07500644427548764
self_longest_inv_state_primary,0.07499732012015198,0.07499732012015198
ally3_pre_spike_first_bloods,0.07336259381762934,0.07336259381762934
self_post_spike_longest_inv_state_secondary,0.07274493303679068,0.07274493303679068
ally3_pre_spike_avg_health,0.06962077222170118,0.06962077222170118
self_post_spike_assists,0.06937162058086324,0.06937162058086324
self_pre_spike_max_credits_loss,0.0685549171358333,0.0685549171358333
self_longest_inv_state_melee,-0.06841103534060995,0.06841103534060995
ally2_post_spike_first_bloods,0.06796931674399743,0.06796931674399743
self_post_spike_max_credits_loss,0.06661083958813027,0.06661083958813027
self_pre_spike_total_ammo_mag_loss,-0.06576834638563442,0.06576834638563442
opponent3_pre_spike_ultimate_usage,-0.0634296378187883,0.0634296378187883
self_post_spike_longest_gun_secondary_shorty,-0.06325008049726699,0.06325008049726699
opponent2_post_spike_assists,-0.06294951934247456,0.06294951934247456
ally2_pre_spike_wallbangs,0.06278537762497237,0.06278537762497237
pre_spike_damage_for_team_used,0.06259346274561364,0.06259346274561364
pre_spike_crowd_control_mobility_used,0.06246332467316923,0.06246332467316923
self_post_spike_total_ability_usage_3,-0.06218580012639323,0.06218580012639323
self_post_spike_longest_gun_secondary_sheriff,-0.06196571244687349,0.06196571244687349
ally3_pre_spike_total_health_loss,-0.06192712443211039,0.06192712443211039
ally1_post_spike_ultimate_usage,-0.061827651111320596,0.061827651111320596
opponent2_pre_spike_first_bloods,-0.061623896404542126,0.061623896404542126
ally1_post_spike_assists,0.06121153234933541,0.06121153234933541
self_pre_spike_total_ability_usage_1,0.060064214023442704,0.060064214023442704
self_pre_spike_avg_shield,0.05819757348287016,0.05819757348287016
ally2_post_spike_total_health_loss,-0.05810708042230043,0.05810708042230043
ally3_post_spike_max_health_loss,0.058067839235614364,0.058067839235614364
opponent2_post_spike_first_bloods,-0.057896507758454556,0.057896507758454556
self_post_spike_longest_gun_primary_operator,-0.056994641146139426,0.056994641146139426
ally1_pre_spike_headshots,0.05607081407856592,0.05607081407856592
self_post_spike_max_ammo_reserve_loss,-0.05558819794122008,0.05558819794122008
opponent2_pre_spike_headshots,-0.05486194006407813,0.05486194006407813
self_pre_spike_total_ability_usage_2,0.05452659120322243,0.05452659120322243
self_post_spike_map_covered,-0.05434549793893121,0.05434549793893121
ally2_pre_spike_max_health_loss,0.05392018730151305,0.05392018730151305
ally2_post_spike_max_health_loss,0.053807958812888974,0.053807958812888974
post_spike_damage_for_team_used,0.05285940764541346,0.05285940764541346
ally4_post_spike_wallbangs,-0.052744425206143794,0.052744425206143794
self_post_spike_total_ability_usage_4,0.052394785710384334,0.052394785710384334
opponent4_pre_spike_first_bloods,-0.05205206781043236,0.05205206781043236
round_info_ally_side_unknown,0.05156920495460967,0.05156920495460967
ally1_post_spike_headshots,0.05011326387451426,0.05011326387451426
opponent1_post_spike_first_bloods,-0.04953629618507903,0.04953629618507903
